CellID,DNA1,ECAD,CD45,CD4,CD3D,CD8A,CD45R,KI67,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
2863,24131.25,940.27,263.06,637.83,753.34,315.05,375.3,1384.29,1148.168675,1025.481928,83,14.51998068,7.511362074,0.855796801,0.873684211,0.691666667,-1.563621297
2864,24881.76,1222.84,283.57,722.35,802.25,350.26,418.57,1564.54,1201.155844,1033.069264,231,19.66612239,18.28203537,0.368517664,0.796551724,0.578947368,-0.209840189
2865,27498.96,1056.7,557.32,739.79,1136.83,1064.64,426.4,1597.14,1986.187097,1029.225806,155,17.76858154,12.08191117,0.733249912,0.828877005,0.574074074,1.171125547
2866,23297.13,1140.27,1125.2,705.49,1614.33,2192.11,393.02,1893.98,2275.822222,1026.266667,45,10.06695298,6.032476988,0.800572702,0.865384615,0.5625,-0.668780154
2867,31033.86,1189.3,296.07,749.39,913.87,372.62,401.38,1758.99,2353.457831,1035.548193,166,30.42645187,7.48631636,0.969258072,0.786729858,0.456043956,-0.260752723
2868,16815.32,1705.15,313.5,700.69,971.2,398.22,372.24,1904.44,2611.371681,1027.646018,113,15.63442031,10.02585828,0.767316724,0.926229508,0.627777778,0.472443503
2869,8876.39,515.49,523.69,600.26,593.66,340.72,292.72,722.92,412.852459,1028.131148,61,13.41511769,6.198993659,0.88683296,0.847222222,0.635416667,-0.319289765
2870,24627.93,1568.6,349.88,970.83,1472.21,472.83,433.91,945.2,506.0933333,1027.2,75,13.07372754,7.716968564,0.807209265,0.852272727,0.555555556,-1.440210512
2871,5444.61,370.23,273.66,417.84,371.39,262.57,281.82,647.16,689.0681818,1026.409091,44,8.20792339,6.826800146,0.555175952,0.956521739,0.785714286,-0.446131878
2872,23731.2,497.41,397.59,583.69,572.96,300.73,350.15,1109.67,902.4266667,1027.506667,75,11.52720965,8.469357441,0.678362413,0.925925926,0.757575758,1.24992032
2873,32704.96,460.32,278.76,539.63,449.57,286.03,340.81,1718.89,1902.111111,1025.527778,72,16.9776056,5.577327958,0.94450019,0.87804878,0.642857143,1.40916949
